fileName,pages,sourcePath,sourceSha256,sha256,bytes,watermark,fontSizePt,gray,baselinePt
LEET-2009-preliminary-reasoning-even.pdf,16,output/pdf/LEET-2009-preliminary-reasoning-even.pdf,64fbb7507e4425e4284e040d65e1f545cf44c52e305338ef3883c5264f15752d,3cd58ba0716cfc97111599656cedc6653ed449166ba552e1e40637d69059022f,551951,리트 채점은 all LEET,9,0.78,6
LEET-2009-preliminary-reasoning-odd.pdf,16,output/pdf/LEET-2009-preliminary-reasoning-odd.pdf,3c4bd946e512170b111839a1424d866066e9e78992d8f47da117d0ce6d6eda31,a3ac1bb3aab105e21e8e3569c177a63eea5e6b1f585f656f3c4bbc7570ea7a67,8697958,리트 채점은 all LEET,9,0.78,6
LEET-2009-preliminary-verbal-even.pdf,16,output/pdf/LEET-2009-preliminary-verbal-even.pdf,35939e101e38171638b627ccc42fb543ac0ad4dbb82263a51438179d8ebde41e,1f192b18a9abb92f52d198f88e7f6306e67cca0bac887e18b070ab7b609c4d61,670305,리트 채점은 all LEET,9,0.78,6
LEET-2009-preliminary-verbal-odd.pdf,16,output/pdf/LEET-2009-preliminary-verbal-odd.pdf,1a6f2556454ddfb8ed926fd36c736883e7fe062ae96920da1d75bc79fe32f023,55c5d6266d89c451918a0d246b6ba12a6e084920f5bdc077328960e20cb9f7a6,8496017,리트 채점은 all LEET,9,0.78,6
LEET-2009-reasoning-even.pdf,16,output/pdf/LEET-2009-reasoning-even.pdf,79a66ef5e91820647c9957c644d381fcd948dd0d053f73315301e15f35367f0c,1f0546aa732d3193f3c0a3c4563de6811df8ff739e57c2d15c8c571f3a3320e9,1241239,리트 채점은 all LEET,9,0.78,6
LEET-2009-reasoning-odd.pdf,16,output/pdf/LEET-2009-reasoning-odd.pdf,d142a45f098999f1a6a78437a2677c00f4a20e11abd684bb8af5b3abc73a0072,eb0004b0b8a6f7f765568c637de4b6d4093d8c53350fcd19594e7d4a583b6114,9407534,리트 채점은 all LEET,9,0.78,6
LEET-2009-verbal-even.pdf,16,output/pdf/LEET-2009-verbal-even.pdf,80978793428013332599a7c2a266c74531f5c16adfc32222f1785a21f75f29e5,9d6c35a6af69c9116336a61684394f0398649564554e2e40a2ebf4d43314b29c,1425442,리트 채점은 all LEET,9,0.78,6
LEET-2009-verbal-odd.pdf,16,output/pdf/LEET-2009-verbal-odd.pdf,57c66e117ff8f8fd38eafce59355d4be103111c6bb0fa3390a009c41074a3d73,63d3acd5b973d1695a4b409fcfe748e8a19060337c7f38d1c71076990deb25ca,8906412,리트 채점은 all LEET,9,0.78,6
LEET-2010-reasoning-even.pdf,16,output/pdf/LEET-2010-reasoning-even.pdf,8cb9b0ac728006bde1e64003a99b487a48f7b1cc1da07516dbddbba2161fe61b,e86e64cf90528660bb850615d2e4a878aabce453ce71b863581dbe6d67fd44a4,903537,리트 채점은 all LEET,9,0.78,6
LEET-2010-reasoning-odd.pdf,16,output/pdf/LEET-2010-reasoning-odd.pdf,5eb7b075e70e053a18b4392b08264287659d8b077e1336c01a3541d16a833c05,e0f8fc0db9b07d930659041265fff0507cd7f481017790f1112bda1dbaf4f376,7801719,리트 채점은 all LEET,9,0.78,6
